file_names,satellite,year,month,total_rows,missing_values
2012/g15_xrs_1m_20120201_20120229.csv,goes15,2012,2,41760,258
2012/g15_xrs_1m_20120301_20120331.csv,goes15,2012,3,43200,3236
2012/g15_xrs_1m_20120401_20120430.csv,goes15,2012,4,43200,567
2012/g15_xrs_1m_20120501_20120531.csv,goes15,2012,5,44640,75
2012/g15_xrs_1m_20120601_20120630.csv,goes15,2012,6,43200,44
2012/g15_xrs_1m_20120701_20120731.csv,goes15,2012,7,44640,43
2012/g15_xrs_1m_20120801_20120831.csv,goes15,2012,8,44640,160
2012/g15_xrs_1m_20120901_20120930.csv,goes15,2012,9,43200,1961
2012/g14_xrs_1m_20121001_20121031.csv,goes14,2012,10,44640,1129
2012/g15_xrs_1m_20121101_20121130.csv,goes15,2012,11,43200,18316
2012/g15_xrs_1m_20121201_20121231.csv,goes15,2012,12,44640,44
2013/g15_xrs_1m_20130101_20130131.csv,goes15,2013,1,44640,56
2013/g15_xrs_1m_20130201_20130228.csv,goes15,2013,2,40320,321
2013/g15_xrs_1m_20130301_20130331.csv,goes15,2013,3,44640,2281
2013/g15_xrs_1m_20130401_20130430.csv,goes15,2013,4,43200,650
2013/g15_xrs_1m_20130501_20130531.csv,goes15,2013,5,44640,218
2013/g15_xrs_1m_20130601_20130630.csv,goes15,2013,6,43200,34
2013/g15_xrs_1m_20130701_20130731.csv,goes15,2013,7,44640,43
2013/g15_xrs_1m_20130801_20130831.csv,goes15,2013,8,44640,139
2013/g15_xrs_1m_20130901_20130930.csv,goes15,2013,9,43200,1983
2013/g15_xrs_1m_20131001_20131031.csv,goes15,2013,10,44640,1024
2013/g15_xrs_1m_20131101_20131130.csv,goes15,2013,11,43200,57
2013/g15_xrs_1m_20131201_20131231.csv,goes15,2013,12,44640,47
2014/g15_xrs_1m_20140101_20140131.csv,goes15,2014,1,44640,1004
2014/g15_xrs_1m_20140201_20140228.csv,goes15,2014,2,40320,369
2014/g15_xrs_1m_20140301_20140331.csv,goes15,2014,3,44640,2280
2014/g15_xrs_1m_20140401_20140430.csv,goes15,2014,4,43200,778
2014/g15_xrs_1m_20140501_20140531.csv,goes15,2014,5,44640,315
2014/g15_xrs_1m_20140601_20140630.csv,goes15,2014,6,43200,49
2014/g15_xrs_1m_20140701_20140731.csv,goes15,2014,7,44640,347
2014/g15_xrs_1m_20140801_20140831.csv,goes15,2014,8,44640,147
2014/g15_xrs_1m_20140901_20140930.csv,goes15,2014,9,43200,1961
2014/g15_xrs_1m_20141001_20141031.csv,goes15,2014,10,44640,1015
2014/g15_xrs_1m_20141101_20141130.csv,goes15,2014,11,43200,82
2014/g15_xrs_1m_20141201_20141231.csv,goes15,2014,12,44640,842
2015/g15_xrs_1m_20150101_20150131.csv,goes15,2015,1,44640,140
2015/g15_xrs_1m_20150201_20150228.csv,goes15,2015,2,40320,897
2015/g15_xrs_1m_20150301_20150331.csv,goes15,2015,3,44640,3142
2015/g15_xrs_1m_20150401_20150430.csv,goes15,2015,4,43200,1172
2015/g15_xrs_1m_20150501_20150531.csv,goes15,2015,5,44640,13665
2015/g13_xrs_1m_20150601_20150630.csv,goes13,2015,6,43200,633
2015/g15_xrs_1m_20150701_20150731.csv,goes15,2015,7,44640,355
2015/g13_xrs_1m_20150801_20150831.csv,goes13,2015,8,44640,50
2015/g15_xrs_1m_20150901_20150930.csv,goes15,2015,9,43200,2070
2015/g13_xrs_1m_20151001_20151031.csv,goes13,2015,10,44640,933
2015/g15_xrs_1m_20151101_20151130.csv,goes15,2015,11,43200,100
2015/g13_xrs_1m_20151201_20151231.csv,goes13,2015,12,44640,161
2016/g15_xrs_1m_20160101_20160131.csv,goes15,2016,1,44640,149
2016/g15_xrs_1m_20160201_20160229.csv,goes15,2016,2,41760,160
2016/g15_xrs_1m_20160301_20160331.csv,goes15,2016,3,43200,2611
